title,year,duration,genre,rating,movie_url
Der Untergang,2004,2h 36m,"Biography,Drama,History,Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.,Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.,Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,https://www.imdb.com/title/tt0363163/
V for Vendetta,2005,2h 12m,"Action,Drama,Sci-Fi",8.2,https://www.imdb.com/title/tt0434409/
There Will Be Blood,2007,2h 38m,Drama,8.2,https://www.imdb.com/title/tt0469494/
No Country for Old Men,2007,2h 2m,"Crime,Drama,Thriller",8.2,https://www.imdb.com/title/tt0477348/
Warrior,2011,2h 20m,"Action,Drama,Sport",8.2,https://www.imdb.com/title/tt1291584/
El secreto de sus ojos,2009,2h 9m,"Drama,Mystery,Romance",8.2,https://www.imdb.com/title/tt1305806/
The Wolf of Wall Street,2013,3h,"Biography,Comedy,Crime",8.2,https://www.imdb.com/title/tt0993846/
Good Will Hunting,1997,2h 6m,"Drama,Romance",8.3,https://www.imdb.com/title/tt0119217/
Heat,1995,2h 50m,"Action,Crime,Drama",8.3,https://www.imdb.com/title/tt0113277/
Inside Out,2015,1h 35m,"Animation,Adventure,Comedy",8.2,https://www.imdb.com/title/tt2096673/
L.A. Confidential,1997,2h 18m,"Crime,Drama,Mystery",8.3,https://www.imdb.com/title/tt0119488/
Requiem for a Dream,2000,1h 42m,Drama,8.3,https://www.imdb.com/title/tt0180093/
Eternal Sunshine of the Spotless Mind,2004,1h 48m,"Drama,Romance,Sci-Fi",8.3,https://www.imdb.com/title/tt0338013/
Babam ve Oglum,2005,1h 52m,"Drama,Family,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.",8.3,https://www.imdb.com/title/tt0476735/
The Father,2020,1h 37m,"Drama,Mystery",8.3,https://www.imdb.com/title/tt10272386/
Batman Begins,2005,2h 20m,"Action,Crime,Drama",8.3,https://www.imdb.com/title/tt0372784/
Up,2009,1h 36m,"Animation,Adventure,Comedy",8.3,https://www.imdb.com/title/tt1049413/
Inglourious Basterds,2009,2h 33m,"Adventure,Drama,War",8.3,https://www.imdb.com/title/tt0361748/
Incendies,2010,2h 11m,"Drama,Mystery,War",8.3,https://www.imdb.com/title/tt1255953/
Jodaeiye Nader az Simin,2011,2h 3m,Drama,8.3,https://www.imdb.com/title/tt1832382/
The Batman,2022,2h 56m,"Action,Crime,Drama",8.3,https://www.imdb.com/title/tt1877830/
Jagten,2012,1h 55m,Drama,8.3,https://www.imdb.com/title/tt2106476/
Sunset Blvd.,1950,1h 50m,"Drama,Film-Noir",8.4,https://www.imdb.com/title/tt0043014/
Witness for the Prosecution,1957,1h 56m,"Crime,Drama,Mystery",8.4,https://www.imdb.com/title/tt0051201/
1917,2019,1h 59m,"Action,Drama,War",8.3,https://www.imdb.com/title/tt8579674/
Paths of Glory,1957,1h 28m,"Drama,War",8.4,https://www.imdb.com/title/tt0050825/
The Great Dictator,1940,2h 5m,"Comedy,Drama,War",8.4,https://www.imdb.com/title/tt0032553/
Tengoku to jigoku,1963,2h 23m,"Crime,Drama,Mystery",8.4,https://www.imdb.com/title/tt0057565/
The Shining,1980,2h 26m,"Drama,Horror",8.4,https://www.imdb.com/title/tt0081505/
Das Boot,1981,,"Drama,War",8.4,https://www.imdb.com/title/tt0082096/
Amadeus,1984,2h 40m,"Biography,Drama,Music",8.4,https://www.imdb.com/title/tt0086879/
Oldeuboi,2003,2h,"Action,Drama,Mystery",8.4,https://www.imdb.com/title/tt0364569/
Das Leben der Anderen,2006,2h 17m,"Drama,Mystery,Thriller,In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.,In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.,In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",8.4,https://www.imdb.com/title/tt0405094/
American Beauty,1999,2h 2m,Drama,8.4,https://www.imdb.com/title/tt0169547/
Braveheart,1995,2h 58m,"Biography,Drama,History",8.4,https://www.imdb.com/title/tt0112573/
Taare Zameen Par,2007,2h 45m,"Drama,Family",8.4,https://www.imdb.com/title/tt0986264/
Once Upon a Time in America,1984,3h 49m,"Crime,Drama",8.4,https://www.imdb.com/title/tt0087843/
Goodfellas,1990,2h 25m,"Biography,Crime,Drama",8.7,https://www.imdb.com/title/tt0099685/
3 Idiots,2009,2h 50m,"Comedy,Drama",8.5,https://www.imdb.com/title/tt1187043/
The Departed,2006,2h 31m,"Crime,Drama,Thriller",8.5,https://www.imdb.com/title/tt0407887/
The Prestige,2006,2h 10m,"Drama,Mystery,Thriller",8.5,https://www.imdb.com/title/tt0482571/
