title,year,duration,genre,rating,movie_url
All About Eve,1950,2h 18m,Drama,8.3,https://www.imdb.com/title/tt0042192/
Metropolis,1927,2h 33m,"Drama,Sci-Fi",8.3,https://www.imdb.com/title/tt0017136/
Green Book,2018,2h 10m,"Biography,Comedy,Drama",8.2,https://www.imdb.com/title/tt6966692/
The Kid,1921,1h 8m,"Comedy,Drama,Family,The Tramp cares for an abandoned child, but events put that relationship in jeopardy.,The Tramp cares for an abandoned child, but events put that relationship in jeopardy.,The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",8.3,https://www.imdb.com/title/tt0012349/
Citizen Kane,1941,1h 59m,"Drama,Mystery",8.3,https://www.imdb.com/title/tt0033467/
Ikiru,1952,2h 23m,Drama,8.3,https://www.imdb.com/title/tt0044741/
Pather Panchali,1955,2h 5m,Drama,8.3,https://www.imdb.com/title/tt0048473/
Ladri di biciclette,1948,1h 29m,Drama,8.3,https://www.imdb.com/title/tt0040522/
Double Indemnity,1944,1h 47m,"Crime,Drama,Film-Noir",8.3,https://www.imdb.com/title/tt0036775/
The Apartment,1960,2h 5m,"Comedy,Drama,Romance",8.3,https://www.imdb.com/title/tt0053604/
Judgment at Nuremberg,1961,2h 59m,"Drama,War",8.3,https://www.imdb.com/title/tt0055031/
Lawrence of Arabia,1962,3h 38m,"Adventure,Biography,Drama",8.3,https://www.imdb.com/title/tt0056172/
The Sting,1973,2h 9m,"Comedy,Crime,Drama",8.3,https://www.imdb.com/title/tt0070735/
Dersu Uzala,1975,2h 22m,"Adventure,Biography,Drama",8.3,https://www.imdb.com/title/tt0071411/
Taxi Driver,1976,1h 54m,"Crime,Drama",8.3,https://www.imdb.com/title/tt0075314/
Scarface,1983,2h 50m,"Crime,Drama",8.3,https://www.imdb.com/title/tt0086250/
La passion de Jeanne d'Arc,1928,1h 50m,"Biography,Drama,History",8.2,https://www.imdb.com/title/tt0019254/
Mary and Max.,2009,1h 32m,"Animation,Comedy,Drama",8.1,https://www.imdb.com/title/tt0978762/
To Kill a Mockingbird,1962,2h 9m,"Crime,Drama",8.3,https://www.imdb.com/title/tt0056592/
Hachi: A Dog's Tale,2009,1h 33m,"Biography,Drama,Family",8.1,https://www.imdb.com/title/tt1028532/
Dune: Part One,2021,2h 35m,"Action,Adventure,Drama",8.1,https://www.imdb.com/title/tt1160419/
Gran Torino,2008,1h 56m,Drama,8.1,https://www.imdb.com/title/tt1205489/
Prisoners,2013,2h 33m,"Crime,Drama,Mystery",8.1,https://www.imdb.com/title/tt1392214/
Spotlight,2015,2h 9m,"Biography,Crime,Drama",8.1,https://www.imdb.com/title/tt1895587/
Ford v Ferrari,2019,2h 32m,"Action,Biography,Drama",8.1,https://www.imdb.com/title/tt1950186/
The Help,2011,2h 26m,Drama,8.1,https://www.imdb.com/title/tt1454029/
Rush,2013,2h 3m,"Action,Biography,Drama",8.1,https://www.imdb.com/title/tt1979320/
12 Years a Slave,2013,2h 14m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt2024544/
Gone Girl,2014,2h 29m,"Drama,Mystery,Thriller",8.1,https://www.imdb.com/title/tt2267998/
Relatos salvajes,2014,2h 2m,"Comedy,Drama,Thriller",8.1,https://www.imdb.com/title/tt3011894/
Hacksaw Ridge,2016,2h 19m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt2119532/
Room,2015,1h 58m,"Drama,Thriller",8.1,https://www.imdb.com/title/tt3170832/
Mr. Smith Goes to Washington,1939,2h 9m,"Comedy,Drama",8.1,https://www.imdb.com/title/tt0031679/
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,"Comedy,Crime,Drama",8.1,https://www.imdb.com/title/tt5027774/
Ah-ga-ssi,2016,2h 25m,"Drama,Romance,Thriller",8.1,https://www.imdb.com/title/tt4016934/
Logan,2017,2h 17m,"Action,Drama,Sci-Fi",8.1,https://www.imdb.com/title/tt3315342/
Rebecca,1940,2h 10m,"Drama,Film-Noir,Mystery",8.1,https://www.imdb.com/title/tt0032976/
The Grapes of Wrath,1940,2h 9m,Drama,8.1,https://www.imdb.com/title/tt0032551/
The Best Years of Our Lives,1946,2h 50m,"Drama,Romance,War",8.1,https://www.imdb.com/title/tt0036868/
On the Waterfront,1954,1h 48m,"Crime,Drama,Thriller",8.1,https://www.imdb.com/title/tt0047296/
Det sjunde inseglet,1957,1h 36m,"Drama,Fantasy,History,A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.,A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.,A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.1,https://www.imdb.com/title/tt0050976/
Les quatre cents coups,1959,1h 39m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0053198/
Ben-Hur,1959,3h 32m,"Adventure,Drama,History",8.1,https://www.imdb.com/title/tt0052618/
La battaglia di Algeri,1966,2h 1m,"Drama,War",8.1,https://www.imdb.com/title/tt0058946/
Persona,1966,1h 25m,"Drama,Thriller",8.1,https://www.imdb.com/title/tt0060827/
The Sound of Music,1965,2h 52m,"Biography,Drama,Family",8.1,https://www.imdb.com/title/tt0059742/
Cool Hand Luke,1967,2h 7m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0061512/
Barry Lyndon,1975,3h 5m,"Adventure,Drama,History",8.1,https://www.imdb.com/title/tt0072684/
Network,1976,2h 1m,Drama,8.1,https://www.imdb.com/title/tt0074958/
Rocky,1976,2h,"Drama,Sport",8.1,https://www.imdb.com/title/tt0075148/
The Deer Hunter,1978,3h 3m,"Drama,War",8.1,https://www.imdb.com/title/tt0077416/
Blade Runner,1982,1h 57m,"Action,Drama,Sci-Fi",8.1,https://www.imdb.com/title/tt0083658/
Gandhi,1982,3h 11m,"Biography,Drama",8.1,https://www.imdb.com/title/tt0083987/
Platoon,1986,2h,"Drama,War",8.1,https://www.imdb.com/title/tt0091763/
Groundhog Day,1993,1h 41m,"Comedy,Drama,Fantasy",8.1,https://www.imdb.com/title/tt0107048/
Stand by Me,1986,1h 29m,"Adventure,Drama",8.1,https://www.imdb.com/title/tt0092005/
In the Name of the Father,1993,2h 13m,"Biography,Crime,Drama,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.",8.1,https://www.imdb.com/title/tt0107207/
Dead Poets Society,1989,2h 8m,"Comedy,Drama",8.1,https://www.imdb.com/title/tt0097165/
La haine,1995,1h 38m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0113247/
Amores perros,2000,2h 34m,"Drama,Thriller",8.1,https://www.imdb.com/title/tt0245712/
